t203a4306101102,此安全设置确定在连接到本地计算机的用户超出其用户帐户的有效登录时间时是否断开与用户的连接。,未启用登录时间过期后断开与客户端的连接，系统长期与客户端连接，若缺少监管，会有非法侵入和攻击者利用的重大安全风险。,此安全设置确定在连接到本地计算机的用户超出其用户帐户的有效登录时间时是否断开与用户的连接。
t203a4306101103,确定用户是否可以配置高级 TCP/IP 设置。如果启用此设置(并启用“为管理员启用网络连接设置”设置)，就对所有用户(包括管理员)禁用“网际协议(TCP/IP) 属性”对话框上的“高级”按钮。因此，用户不能打开“高级 TCP/IP 设置属性”页并修改 IP 设置(例如，DNS 和 WINS 服务器信息)。,未禁用TCP/IP高级配置服务，会造成所有用户包含管理员无法对TCP/IP进行配置，干挠系统和业务的应用。,确定用户是否可以配置高级 TCP/IP 设置。如果启用此设置(并启用“为管理员启用网络连接设置”设置)，就对所有用户(包括管理员)禁用“网际协议(TCP/IP) 属性”对话框上的“高级”按钮。因此，用户不能打开“高级 TCP/IP 设置属性”页并修改 IP 设置(例如，DNS 和 WINS 服务器信息)。
t203a4306101104,确定用户是否可以查看和更改对计算机所有用户可用的远程访问连接的属性。,未禁用更改所有用户远程访问连接的属性，说明操作系统在用户权限管理方面存在不足，用户可以查看和更改对计算机所有用户可用的远程访问连接的属性，造成关键信息的泄露。,确定用户是否可以查看和更改对计算机所有用户可用的远程访问连接的属性。要在“新建连接向导”中的“连接可用性”页上创建所有用户远程访问连接，请单击“对所有用户”选项。此设置确定是否启用“属性”菜单项，以及远程访问连接属性对话框是否对用户可用。如果启用此设置，任何用户右键单击用来进行远程访问连接的图标时，就会出现“属性”菜单项。同样地，当任何用户选择连接时，“文件”菜单上就出现“属性”。
t203a4306101105,确定用户是否可以启用/禁用 LAN 连接。,未禁用LAN连接的能力，可能由于误操作造成系统断网。,确定用户是否可以启用/禁用 LAN 连接。如果启用此设置，用户(包括非管理员用户)可以使用用来进行 LAN 连接的“启用”和“禁用”选项。用户可以通过双击代表连接的图标、右键单击它或使用“文件”菜单，启用/禁用 LAN 连接。
t203a4306101102,此安全设置确定在连接到本地计算机的用户超出其用户帐户的有效登录时间时是否断开与用户的连接。,未启用登录时间过期后断开与客户端的连接，系统长期与客户端连接，若缺少监管，会有非法侵入和攻击者利用的重大安全风险。,此安全设置确定在连接到本地计算机的用户超出其用户帐户的有效登录时间时是否断开与用户的连接。
t203a4306101103,确定用户是否可以配置高级 TCP/IP 设置。如果启用此设置(并启用“为管理员启用网络连接设置”设置)，就对所有用户(包括管理员)禁用“网际协议(TCP/IP) 属性”对话框上的“高级”按钮。因此，用户不能打开“高级 TCP/IP 设置属性”页并修改 IP 设置(例如，DNS 和 WINS 服务器信息)。,未禁用TCP/IP高级配置服务，会造成所有用户包含管理员无法对TCP/IP进行配置，干挠系统和业务的应用。,确定用户是否可以配置高级 TCP/IP 设置。如果启用此设置(并启用“为管理员启用网络连接设置”设置)，就对所有用户(包括管理员)禁用“网际协议(TCP/IP) 属性”对话框上的“高级”按钮。因此，用户不能打开“高级 TCP/IP 设置属性”页并修改 IP 设置(例如，DNS 和 WINS 服务器信息)。
t203a4306101104,确定用户是否可以查看和更改对计算机所有用户可用的远程访问连接的属性。,未禁用更改所有用户远程访问连接的属性，说明操作系统在用户权限管理方面存在不足，用户可以查看和更改对计算机所有用户可用的远程访问连接的属性，造成关键信息的泄露。,确定用户是否可以查看和更改对计算机所有用户可用的远程访问连接的属性。要在“新建连接向导”中的“连接可用性”页上创建所有用户远程访问连接，请单击“对所有用户”选项。此设置确定是否启用“属性”菜单项，以及远程访问连接属性对话框是否对用户可用。如果启用此设置，任何用户右键单击用来进行远程访问连接的图标时，就会出现“属性”菜单项。同样地，当任何用户选择连接时，“文件”菜单上就出现“属性”。
t203a4306101105,确定用户是否可以启用/禁用 LAN 连接。,未禁用LAN连接的能力，可能由于误操作造成系统断网。,确定用户是否可以启用/禁用 LAN 连接。如果启用此设置，用户(包括非管理员用户)可以使用用来进行 LAN 连接的“启用”和“禁用”选项。用户可以通过双击代表连接的图标、右键单击它或使用“文件”菜单，启用/禁用 LAN 连接。
t203g4303101102,此安全设置确定 OS 是否对尝试登录此计算机或从中注销的用户的每个实例进行审核。,操作系统的审核登录事件安全设置不符合要求，说明操作系统在安全审核方面存在不足，缺失对登录事件的记录和追溯。,此安全设置确定 OS 是否对尝试登录此计算机或从中注销的用户的每个实例进行审核。
t203g4303101103,此安全设置确定 OS 是否对访问非 Active Directory 对象的用户尝试进行审核。,操作系统的审核对象访问安全设置不符合要求，说明操作系统在安全审计方面存在不足，缺失对象访问的记录和追溯。,此安全设置确定 OS 是否对访问非 Active Directory 对象的用户尝试进行审核。
t203g4303101104,此安全设置确定 OS 是否审核与进程相关的事件，例如进程创建、进程终止、句柄复制以及间接对象访问。,操作系统的审核过程跟踪安全设置不符合要求，说明操作系统在安全审核方面存在不足，缺失对过程跟踪的记录和追溯。,此安全设置确定 OS 是否审核与进程相关的事件，例如进程创建、进程终止、句柄复制以及间接对象访问。
t203g4303101105,此安全设置确定 OS 是否对访问 Active Directory 对象的用户尝试进行审核。,操作系统的审核目录服务访问安全设置不符合要求，说明操作系统在安全审计方面存在不足，缺失对象访问的记录和追溯。,此安全设置确定 OS 是否对目录服务访问的用户尝试进行审核。
t203g4303101106,此安全设置确定是否审核执行用户权限的用户的每个实例。,操作系统的审核特权使用安全设置不符合要求，说明操作系统在安全审计方面存在不足，缺失特权使用的记录和追溯。,此安全设置确定是否审核执行用户权限的用户的每个实例。
t203g4303101107,此安全设置确定 OS 是否对“更改系统时间”、“启动关闭系统”、“加载可扩展身份验证组件”等事件进行审核。,操作系统的审核系统事件安全设置不符合要求，说明操作系统在安全审计方面存在不足，缺失系统事件的记录和追溯。,此安全设置确定 OS 是否对“更改系统时间”、“启动关闭系统”、“加载可扩展身份验证组件”等事件进行审核。
t203g4303101108,此安全设置确定 OS 是否在此计算机每次验证帐户凭据时进行审核。,操作系统的审核账户登录事件安全设置不符合要求，说明操作系统在安全审计方面存在不足，缺失账户登录事件的记录和追溯。,此安全设置确定 OS 是否在此计算机每次验证帐户凭据时进行审核。
t203g4303101110,此安全设置确定 OS 是否对尝试更改用户权限分配策略、审核策略、帐户策略或信任策略的每一个实例进行审核。,操作系统的审核策略更改安全设置不符合要求，说明操作系统在安全审计方面存在不足，缺失策略更改的记录和追溯。,此安全设置确定 OS 是否对尝试更改用户权限分配策略、审核策略、帐户策略或信任策略的每一个实例进行审核。
